section,key,owner,shipped,status,verdict,note
"raceBehaviorConfig","softSteeringClearancePct","0","0","SHIPPED","",""
"raceBehaviorConfig","softSteeringHysteresisY","0.04","0.04","SHIPPED","",""
"raceBehaviorConfig","softSteeringStrength","0.03","0.03","SHIPPED","",""
"raceBehaviorConfig","softSteeringSymmetric","true","true","SHIPPED","",""
"raceBehaviorConfig","speedBrakeFactor","0.945","0.945","SHIPPED","",""
"raceBehaviorConfig","speedBrakeTMultiplier","1.5","1.5","SHIPPED","",""
"raceBehaviorConfig","speedBrakeYThreshold","0.18","0.18","SHIPPED","",""
"raceBehaviorConfig","speedMatchMinDifferential","0.005","0.005","SHIPPED","",""
"raceBehaviorConfig","speedMatchSafetyMargin","0.001","0.001","SHIPPED","",""
"raceBehaviorConfig","startSpreadRange","0.95","0.95","SHIPPED","",""
"raceBehaviorConfig","tWeight","2","2","SHIPPED","",""
"raceBehaviorConfig","yWeight","1","1","SHIPPED","",""
"rowLayoutConfig","maxCapacityFactor","0.3","0.3","SHIPPED","",""
"rowLayoutConfig","rowGapMultiplier","1.5","1.5","SHIPPED","",""
"rowLayoutConfig","speedBonusFactor","1","1","SHIPPED","",""
"baseSpeedConfig","max","0.00113","0.00113","SHIPPED","",""
"baseSpeedConfig","min","0.00096","0.00096","SHIPPED","",""
