[PAN_DIAG] LEADER | world=(840,243) effZoom=2.215 desiredEffZoom=2.215 | camX=551 idealCamX=551 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=561 (center=640) | screenY_tgt=360 screenY_act=167 (center=360) | lerpLag=(-1190,-175) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(512,834) effZoom=2.215 desiredEffZoom=2.215 | camX=224 idealCamX=224 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=352 (center=640) | screenY_tgt=360 screenY_act=355 (center=360) | lerpLag=(299,22) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(420,818) effZoom=2.215 desiredEffZoom=2.215 | camX=131 idealCamX=131 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=341 (center=640) | screenY_tgt=360 screenY_act=331 (center=360) | lerpLag=(303,38) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(332,786) effZoom=2.215 desiredEffZoom=2.215 | camX=43 idealCamX=43 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=356 (center=640) | screenY_tgt=360 screenY_act=293 (center=360) | lerpLag=(286,71) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(258,737) effZoom=2.215 desiredEffZoom=2.215 | camX=0 idealCamX=-30 camXMax=1342 clampedX=true | screenX_tgt=573 screenX_act=372 (center=640) | screenY_tgt=360 screenY_act=248 (center=360) | lerpLag=(201,114) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(364,279) effZoom=2.215 desiredEffZoom=2.215 | camX=75 idealCamX=75 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=936 (center=640) | screenY_tgt=360 screenY_act=117 (center=360) | lerpLag=(91,540) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(438,258) effZoom=2.215 desiredEffZoom=2.215 | camX=149 idealCamX=149 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=970 (center=640) | screenY_tgt=360 screenY_act=178 (center=360) | lerpLag=(-72,334) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(482,250) effZoom=2.215 desiredEffZoom=2.215 | camX=193 idealCamX=193 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=900 (center=640) | screenY_tgt=360 screenY_act=247 (center=360) | lerpLag=(-106,193) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(504,247) effZoom=2.215 desiredEffZoom=2.215 | camX=215 idealCamX=215 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=805 (center=640) | screenY_tgt=360 screenY_act=300 (center=360) | lerpLag=(-86,99) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(509,246) effZoom=2.215 desiredEffZoom=2.215 | camX=220 idealCamX=220 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=722 (center=640) | screenY_tgt=360 screenY_act=332 (center=360) | lerpLag=(-47,45) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
[PAN_DIAG] LEADER | world=(509,246) effZoom=2.215 desiredEffZoom=2.215 | camX=220 idealCamX=220 camXMax=1342 clampedX=false | screenX_tgt=640 screenX_act=675 (center=640) | screenY_tgt=360 screenY_act=348 (center=360) | lerpLag=(-20,19) | inFrame=true zoomAdapted=false | worldBounds=(0,0,1920,1080) bsX=0.667 bsY=0.667
